temperature,humidity,wind_speed,pressure,rain
38.8,98.3,36.5,1016.4,1
35.7,53.3,41.9,1014.1,0
37.5,48.7,35.4,993.2,1
38.6,45.6,36.7,1003.8,0
37.1,45.9,1.1,995.8,0
38.7,97.7,12.6,1009.2,1
41.5,67.5,42.3,993.5,1
22.3,97.4,11.9,993.3,1
35.5,52.0,27.3,1005.3,0
31.8,47.8,31.9,990.1,1
30.9,80.4,33.4,1010.1,1
19.7,76.5,14.9,999.4,1
35.3,51.0,13.9,1002.3,0
25.1,38.9,18.9,1018.2,0
39.7,73.1,13.5,1006.4,0
24.9,60.1,26.1,1009.6,0
28.6,45.0,21.3,1017.0,1
22.1,35.9,23.2,1009.0,0
37.6,82.6,30.3,996.7,1
18.6,47.1,21.4,1015.5,0
27.9,74.1,8.7,1010.9,1
23.9,75.9,0.2,1012.5,1
20.6,59.8,7.9,1018.7,0
19.2,47.4,38.2,1003.7,1
34.0,99.2,26.8,1018.5,1
32.7,80.3,22.7,1014.9,1
39.5,82.1,21.4,997.8,1
33.3,83.6,23.5,1008.8,1
19.9,50.0,12.2,999.6,1
21.3,46.2,31.2,1011.2,0
27.8,68.0,18.7,996.2,1
39.7,70.9,31.3,1015.7,1
27.1,30.4,15.8,1012.6,0
40.9,59.3,33.6,1006.4,0
23.3,45.4,19.6,990.9,1
34.3,58.3,7.4,1004.0,0
32.9,31.9,17.7,1006.9,0
33.4,39.5,20.8,991.5,1
23.1,52.9,34.3,1001.4,1
38.0,47.7,3.7,990.6,0
42.0,54.5,29.3,1013.4,0
36.1,96.5,9.0,990.6,1
21.0,76.9,25.4,996.5,1
36.4,41.7,27.3,1012.4,0
37.7,97.5,4.9,990.8,1
34.3,97.1,17.8,1011.5,0
34.6,73.9,4.6,1013.2,1
32.4,38.5,44.3,1013.5,0
28.3,55.9,22.8,1000.2,1
37.7,37.4,43.2,1009.1,0
35.0,60.5,33.0,1019.0,0
37.4,67.7,21.8,1003.1,1
24.4,89.6,37.4,992.6,1
23.9,62.5,27.5,1001.4,1
38.4,42.7,9.5,1013.9,0
39.1,79.1,12.4,990.3,1
20.1,80.4,22.0,1012.7,1
33.5,64.4,35.7,992.8,0
34.6,51.4,26.2,1004.2,1
28.2,82.2,14.9,1011.1,1
24.0,38.4,8.7,993.6,1
36.3,43.0,9.7,1004.5,1
41.4,66.7,12.7,993.0,0
23.5,42.6,0.6,1006.0,0
41.4,68.7,31.4,993.8,1
29.8,91.1,25.8,1004.1,1
22.4,33.6,42.3,1004.3,1
27.6,35.2,28.3,991.6,1
31.5,51.3,44.7,993.6,1
32.6,85.4,10.2,1005.7,1
28.6,90.2,44.6,999.2,1
32.6,81.8,42.6,996.2,1
33.9,41.0,7.8,992.3,0
28.8,71.6,13.1,996.9,1
34.9,61.8,30.9,1017.7,0
33.0,76.3,42.0,1002.8,1
33.5,93.6,37.2,992.1,1
25.4,82.4,25.6,998.7,1
34.5,79.0,42.4,1005.0,1
19.9,32.8,19.4,999.7,1
20.2,97.3,37.6,1007.3,1
42.0,77.1,12.1,991.2,1
29.3,75.6,41.2,995.4,1
33.2,64.4,4.1,1000.4,0
34.1,90.0,14.8,1010.8,0
40.7,86.9,24.8,1003.6,1
25.8,97.9,18.2,1005.4,1
33.8,68.0,18.6,995.6,0
36.2,73.8,34.2,996.1,1
40.3,60.7,31.4,993.6,1
32.6,46.8,7.1,1006.5,0
20.2,99.5,41.1,1003.8,1
38.0,64.9,32.2,1005.3,0
38.0,98.6,11.0,1006.5,1
40.1,65.6,39.6,1015.9,0
37.0,59.0,42.0,1005.2,0
24.8,50.9,26.4,1020.0,0
21.6,67.7,15.5,1006.6,0
28.9,52.5,8.5,1010.9,0
23.6,84.3,2.0,1012.3,1
37.5,57.0,29.9,1014.6,0
29.9,32.6,22.6,1007.7,1
39.0,60.8,23.7,1003.7,1
27.8,75.8,6.9,1004.1,1
26.1,78.5,29.2,1015.6,1
38.6,56.6,14.2,1011.6,0
38.9,32.5,3.1,1008.9,0
41.9,82.3,19.5,993.0,1
38.9,61.1,31.2,1017.1,0
37.1,50.5,16.9,994.4,0
31.6,85.5,7.6,992.4,1
32.9,46.9,41.1,994.3,1
24.1,47.9,0.4,1014.1,0
34.3,41.1,19.9,1000.4,0
33.3,59.7,11.3,1015.4,0
27.2,63.8,10.7,1007.2,0
41.8,50.7,44.0,1009.7,0
31.6,78.0,33.5,991.5,1
29.9,93.3,12.9,1014.0,1
26.5,74.6,27.9,1010.3,1
33.8,88.7,28.3,1017.1,1
25.4,60.9,26.1,1012.0,0
25.1,82.3,7.9,994.0,1
41.3,67.2,41.1,1014.9,0
37.8,63.7,36.3,1012.4,0
20.8,97.4,6.3,1019.0,1
35.4,98.6,43.5,1014.1,1
37.0,31.0,24.1,1003.6,1
34.1,70.9,37.0,1018.2,1
23.6,31.8,39.8,1006.8,1
23.3,34.4,37.1,1017.3,0
27.8,39.8,42.6,999.1,1
20.3,92.1,6.1,1003.6,1
35.8,96.2,18.9,1012.3,0
28.0,36.9,22.0,1002.2,1
18.8,55.9,20.0,1018.5,0
20.4,78.0,24.5,1019.3,1
27.6,43.3,5.5,1015.4,0
33.9,74.9,26.9,990.6,1
23.8,38.8,25.4,992.1,1
23.0,45.1,39.1,999.9,1
39.6,30.2,38.6,994.3,0
24.0,42.2,29.7,990.8,1
37.0,46.7,14.6,995.2,0
35.8,66.8,33.6,1004.3,1
30.3,37.6,22.7,1018.4,0
36.8,90.7,23.5,1003.7,1
19.5,63.5,18.1,1010.6,0
39.8,35.1,3.6,1008.2,0
24.6,74.3,24.7,999.8,1
30.7,61.8,27.2,993.0,1
38.5,75.6,34.6,1011.6,1
28.8,46.0,15.3,1003.6,1
20.3,59.9,29.9,1001.2,1
40.2,34.7,37.4,992.8,0
35.7,86.8,25.0,1007.6,1
25.9,38.6,15.9,1010.0,0
38.8,80.5,43.6,1008.0,1
31.9,44.9,29.6,996.7,0
38.3,55.7,34.3,1007.2,0
38.3,98.2,36.8,1008.4,1
18.6,95.0,37.3,998.0,1
34.9,51.6,15.3,990.2,1
31.6,58.1,6.4,1009.0,0
35.9,45.1,18.9,1000.2,0
35.3,84.4,25.5,992.5,1
21.8,73.2,30.3,998.2,1
29.7,60.9,12.3,1012.6,0
28.3,49.8,30.5,1004.6,1
19.1,57.7,27.0,990.2,1
23.1,39.6,11.5,999.8,1
35.9,42.3,17.1,1011.1,0
38.0,86.4,3.2,1015.9,0
18.4,94.5,38.8,1007.3,1
35.0,59.2,5.2,990.6,0
37.2,73.3,37.4,1017.6,1
38.3,47.0,26.5,1005.7,0
25.4,53.8,15.0,995.0,1
20.7,65.7,40.8,1000.5,1
37.7,87.1,10.6,994.4,1
32.5,83.2,29.5,995.3,1
29.9,82.8,34.2,1003.5,1
31.5,74.5,28.1,1015.9,1
21.6,34.8,19.9,999.1,1
19.3,65.5,14.0,1003.6,1
38.0,35.4,38.9,1015.7,0
30.2,62.4,24.9,1013.8,0
28.8,86.7,29.3,999.6,1
21.6,34.3,4.7,1017.0,0
35.1,65.3,7.8,997.4,0
28.5,66.6,7.1,1001.2,1
27.8,53.7,26.9,1013.7,0
19.6,36.6,30.5,998.5,1
33.8,93.4,39.3,1000.0,1
21.4,54.5,43.5,1011.0,0
32.3,95.7,13.9,1001.3,1
37.5,76.9,37.3,1012.2,1
30.6,75.2,19.1,1000.9,1
22.3,45.0,42.6,1004.6,1
21.3,35.4,38.0,993.0,1
38.0,91.9,1.7,1000.1,1
21.1,56.4,7.3,1014.9,0
37.4,41.6,19.7,1002.3,1
23.7,61.1,12.8,1012.5,0
30.8,51.7,36.4,1004.1,1
26.8,96.3,44.3,1003.9,1
27.2,66.9,43.5,1014.5,1
21.3,47.5,28.9,1016.2,0
20.5,89.2,38.3,998.6,1
24.5,93.4,6.6,1003.1,1
23.3,61.6,15.7,990.8,1
30.0,46.5,44.8,1001.2,0
40.3,88.7,29.2,1013.7,1
24.9,88.1,31.3,994.2,1
28.8,30.4,3.6,997.7,1
31.2,80.9,23.7,993.3,1
25.2,33.3,18.9,1013.8,0
20.7,93.4,26.9,990.5,1
23.8,40.1,19.3,1008.4,0
28.0,76.5,3.9,1019.2,1
30.6,65.5,44.5,1006.6,0
29.3,74.5,44.1,997.6,1
36.9,54.1,33.0,1008.8,0
35.6,53.3,2.0,1006.4,0
22.2,84.5,20.9,1010.9,1
37.5,34.4,34.9,1003.7,0
19.1,44.0,1.9,1018.0,0
41.7,68.0,11.4,1012.6,0
26.6,84.7,39.0,1000.0,1
26.8,92.3,33.4,1016.8,1
41.4,64.7,22.4,1017.7,0
37.2,80.9,3.6,1008.1,1
31.1,52.5,3.6,1009.8,0
32.5,59.8,31.0,1000.5,0
38.9,54.7,44.9,998.2,1
40.7,35.3,28.7,1000.9,1
34.3,96.7,6.4,1008.2,1
18.8,34.7,35.0,1001.0,1
31.6,72.4,30.6,1018.5,1
36.3,70.2,23.8,1001.9,1
24.0,37.9,33.1,1005.0,0
31.5,48.3,11.7,1003.4,1
24.9,94.2,22.1,993.7,1
28.8,92.9,20.0,992.6,1
38.3,52.4,15.6,991.9,0
39.4,89.6,32.0,1017.8,1
37.0,65.6,5.5,996.0,0
37.0,31.8,24.9,1001.1,1
31.2,72.8,3.9,999.3,1
35.3,66.8,34.6,1014.7,0
41.3,75.0,20.2,1010.4,1
39.1,84.6,28.8,995.5,1
28.4,93.7,2.5,993.7,1
22.0,52.6,31.9,1000.4,1
39.5,89.2,11.3,1009.1,1
21.0,51.2,24.0,1005.1,0
40.6,40.8,29.6,1011.6,0
38.2,69.5,37.1,990.9,0
33.4,70.4,29.3,1013.0,1
33.3,64.9,28.2,998.7,1
29.6,86.3,30.8,998.9,1
19.4,60.8,21.8,996.1,1
25.5,80.3,33.0,1015.8,1
21.1,55.9,25.3,999.6,1
24.4,47.4,4.4,998.7,1
32.8,47.4,38.9,994.8,0
31.9,51.9,34.3,1004.9,1
30.0,51.6,1.0,1018.4,0
41.2,45.1,15.9,991.5,0
39.2,75.8,21.2,1006.1,1
28.3,91.8,32.7,1012.9,1
27.6,69.9,8.8,1006.6,0
30.1,83.5,12.6,1019.7,1
20.9,98.3,17.7,1013.8,1
40.5,82.8,9.0,1005.3,1
19.1,39.6,15.0,1004.2,1
32.6,66.1,14.8,1008.4,0
41.8,81.8,13.5,1000.1,1
30.8,79.6,13.5,1014.5,1
34.2,98.6,26.3,1013.9,1
34.5,31.9,21.4,1019.0,0
36.6,70.4,32.5,1007.5,1
33.1,73.4,37.9,994.4,1
18.8,96.4,4.9,990.6,1
21.6,78.3,18.5,1013.2,1
38.9,81.5,2.8,994.1,1
25.8,76.4,23.6,999.4,1
39.9,54.0,15.9,1013.2,0
33.4,78.5,27.5,995.8,1
31.4,45.7,43.8,998.9,0
23.0,79.3,14.3,1000.5,1
37.1,49.1,5.5,1010.3,0
41.5,87.3,43.0,1014.1,1
24.9,80.0,15.6,1003.3,1
29.5,44.1,24.2,1018.0,1
21.3,73.1,26.4,997.3,1
30.7,74.7,2.4,1002.4,1
20.4,84.0,0.2,1006.5,1
27.8,95.5,39.5,1004.3,1
41.1,52.5,29.1,1017.2,0
31.8,67.5,32.5,1018.1,0
22.2,91.8,7.9,1017.6,1
27.5,64.7,42.1,1018.9,1
39.0,30.6,25.6,993.2,1
24.8,99.2,24.4,1004.8,1
38.4,62.8,8.7,993.4,0
29.0,48.0,8.4,1012.1,0
31.6,83.0,7.9,1015.7,1
37.8,66.1,3.9,1010.1,0
21.4,52.7,11.2,997.8,1
36.1,96.8,13.6,1011.7,0
33.7,78.5,2.8,993.5,1
27.7,65.2,40.3,1011.1,0
20.8,94.1,13.3,1008.4,1
21.2,40.7,33.6,1008.2,0
31.2,63.0,24.2,1009.9,0
23.9,82.8,39.3,992.5,1
34.9,35.5,25.4,991.9,1
30.1,70.1,6.7,999.8,1
20.8,44.4,26.2,992.7,1
37.4,61.7,23.1,1003.7,0
29.1,86.5,32.5,1001.9,1
35.9,70.5,2.0,1000.3,1
41.9,95.4,3.1,1018.0,0
27.8,83.8,34.5,1019.3,1
28.1,99.5,17.2,1016.1,1
27.0,77.8,29.8,1006.2,1
26.3,42.5,24.2,1005.9,1
23.3,30.2,1.0,999.0,1
31.1,67.2,37.1,997.4,1
24.6,95.6,32.6,993.4,1
28.1,83.6,39.8,990.5,1
20.4,32.4,26.9,1011.1,0
35.8,58.2,10.5,996.5,1
19.4,65.3,13.0,1014.5,0
25.7,71.9,30.3,999.6,1
21.4,76.2,9.9,999.0,1
40.8,91.6,41.0,1008.8,1
29.9,98.1,42.4,1010.1,1
25.6,59.1,6.7,1001.3,1
29.4,89.5,13.5,1011.2,1
40.0,69.4,43.6,1006.7,0
23.8,44.2,29.1,1017.7,1
20.2,80.7,8.6,998.1,1
32.5,91.2,8.5,1012.9,1
31.4,63.6,39.1,1000.0,1
18.4,95.6,43.3,993.5,1
29.5,47.0,27.2,996.1,1
31.2,84.3,17.1,1006.0,1
24.3,65.9,22.4,993.0,1
29.3,88.8,41.1,1001.1,1
31.5,45.5,6.6,997.8,1
31.9,59.2,6.9,999.9,0
38.0,65.0,29.5,1010.5,0
37.7,97.7,28.9,1004.7,1
37.1,41.8,32.4,1004.6,1
31.0,74.9,2.6,991.0,1
40.7,76.8,34.4,1002.4,1
23.6,79.5,0.4,1005.2,1
32.8,76.7,27.7,1004.5,1
18.2,68.6,0.5,1005.9,0
41.5,31.2,36.6,1010.2,0
39.8,37.5,4.3,994.5,0
30.6,87.1,12.0,1001.9,1
27.7,69.6,44.6,996.8,1
38.3,75.8,38.6,1012.8,1
27.1,68.7,2.5,990.3,1
30.0,60.4,35.3,1007.0,0
20.3,67.0,1.9,996.3,1
39.3,63.3,2.1,992.2,1
39.6,69.4,1.5,1017.9,0
41.1,71.1,33.9,1011.4,1
19.8,41.4,10.8,1015.0,0
39.5,53.2,34.0,994.2,1
35.4,65.1,43.8,991.6,1
38.1,53.8,34.6,1018.6,0
36.6,32.1,12.3,1019.8,0
26.5,95.9,19.4,1010.4,1
20.1,73.3,35.9,1011.4,1
21.7,79.8,28.5,1012.2,1
20.6,30.4,13.9,1000.8,1
21.2,43.1,20.2,1006.6,0
18.6,54.8,4.2,1007.9,0
27.2,50.4,17.5,992.5,1
39.7,98.5,25.7,995.1,1
21.3,51.1,22.2,991.9,1
28.1,63.9,3.5,997.6,1
33.0,71.6,8.8,993.2,1
40.8,53.3,27.9,1014.1,0
26.0,87.1,38.7,1019.2,1
25.7,96.3,9.0,999.4,1
41.2,50.4,31.3,1004.7,1
23.8,56.3,36.7,1001.8,1
31.5,71.5,24.6,1010.5,1
40.9,62.3,31.9,1003.2,0
34.6,87.3,35.8,1002.3,1
33.2,46.9,29.6,1011.5,0
19.8,99.3,21.6,1002.0,1
40.1,78.4,24.5,1013.7,1
39.5,67.6,28.7,992.5,1
33.8,54.9,29.1,991.3,1
34.3,58.0,33.9,1019.0,0
18.3,48.1,23.0,1005.6,0
31.8,61.2,17.6,1013.2,0
30.0,54.1,1.1,993.1,0
41.1,38.1,42.3,994.3,0
28.9,44.5,21.7,1004.3,1
34.7,52.3,13.5,1014.3,0
38.4,75.4,30.5,994.9,1
23.9,42.2,7.2,1006.8,0
23.6,58.4,8.3,1009.2,0
18.7,73.0,8.9,1007.8,1
34.9,44.4,33.9,1014.3,0
20.4,91.0,8.4,999.8,1
24.3,90.4,23.7,1009.2,1
32.7,71.1,15.7,1015.4,1
37.5,79.4,13.4,1008.4,0
21.2,38.3,13.7,995.5,1
30.3,59.3,6.2,1001.5,0
33.3,78.5,29.0,1020.0,1
29.8,39.8,14.2,1003.5,1
26.6,30.7,6.1,1014.5,0
30.1,64.6,30.8,1002.5,1
29.7,35.8,1.4,1012.8,0
24.6,67.6,7.6,1003.7,1
36.4,68.5,5.1,993.4,1
37.8,55.7,37.0,991.2,1
31.1,99.3,4.6,1014.9,1
25.1,100.0,20.2,1000.5,1
28.5,99.6,34.9,997.1,1
32.1,54.5,32.0,1009.0,0
21.3,44.5,9.3,991.8,1
24.7,67.7,14.6,1011.1,0
24.4,90.1,44.3,1010.4,1
41.1,85.0,41.3,1019.8,1
21.0,90.6,11.2,1011.3,1
